reject_date,symbol,sector,close_at_reject,market_cap_cr,trade_quality,confidence,top_reasons,close_5d,return_5d_pct,close_10d,return_10d_pct,close_20d,return_20d_pct,measured_at,notes
2026-07-16,LLOYDSENT.NS,METALS,79.71,12160.0,75.9,40.95,REGIME_NO_BUY,81.49,2.23,,,,,2026-07-21T19:22:11,
2026-07-16,LLOYDSENGG.NS,CAPITAL_GOODS,89.06,13034.0,66.4,57.78,REGIME_NO_BUY,91.17,2.37,,,,,2026-07-21T19:21:55,
2026-07-16,LANDMARK.NS,CONSUMER,514.25,2098.0,63.5,18.75,REGIME_NO_BUY,532.2,3.49,,,,,2026-07-21T19:22:21,
2026-07-16,KOPRAN.NS,DIVERSIFIED,204.0,984.0,63.0,59.10499999999999,ROE_TOO_LOW(4.9%<10%),204.01,0.0,,,,,2026-07-21T19:21:49,
2026-07-16,KMEW.NS,DIVERSIFIED,2448.5,6031.0,56.8,57.26,REGIME_NO_BUY,2451.8,0.13,,,,,2026-07-21T19:21:58,
2026-07-16,KIRLOSENG.NS,CAPITAL_GOODS,2414.2,35130.0,52.5,40.12,DE_TOO_HIGH(1.55>1.50),2221.7,-7.97,,,,,2026-07-21T19:22:11,
2026-07-16,KALYANKJIL.NS,DIVERSIFIED,548.1,56599.0,50.9,20.105,REGIME_NO_BUY,577.0,5.27,,,,,2026-07-21T19:22:20,
2026-07-16,KAJARIACER.NS,DIVERSIFIED,1237.0,19704.0,76.9,63.97,REGIME_NO_BUY,1229.3,-0.62,,,,,2026-07-21T19:21:46,
2026-07-16,KABRAEXTRU.NS,DIVERSIFIED,324.05,1135.0,46.5,16.76,REGIME_NO_BUY,359.3,10.88,,,,,2026-07-21T19:22:23,
2026-07-16,JUSTDIAL.NS,DIVERSIFIED,804.05,6837.0,50.4,17.97,REGIME_NO_BUY,743.4,-7.54,,,,,2026-07-21T19:22:22,
2026-07-16,JUBLINGREA.NS,DIVERSIFIED,736.7,11703.0,63.1,34.55,REGIME_NO_BUY,763.8,3.68,,,,,2026-07-21T19:22:12,
2026-07-16,JSFB.NS,FINANCE,497.7,0.0,71.6,58.14,ROE_TOO_LOW(7.6%<10%),561.6,12.84,,,,,2026-07-21T19:21:36,
2026-07-16,JNKINDIA.NS,DIVERSIFIED,545.95,3056.0,61.2,62.68000000000001,REGIME_NO_BUY,480.35,-12.02,,,,,2026-07-21T19:21:46,
2026-07-16,JINDWORLD.NS,CONSUMER,32.06,3214.0,74.7,62.25,ROE_TOO_LOW(8.5%<10%),37.64,17.4,,,,,2026-07-21T19:21:36,
2026-07-16,JAYBARMARU.NS,DIVERSIFIED,189.23,2051.0,42.4,34.14,REGIME_NO_BUY,171.72,-9.25,,,,,2026-07-21T19:22:13,
2026-07-16,IZMO.NS,IT,1119.5,1668.0,58.7,69.01,"CONF_FAIL(got 69.0, need 70) | TQ_FAIL(got 58.7, need 68) | RR_FAIL(got 1.44, need 1.7)",1103.8,-1.4,,,,,2026-07-21T19:21:27,
2026-07-16,IVALUE.NS,DIVERSIFIED,313.15,1710.0,54.8,58.06,REGIME_NO_BUY,290.8,-7.14,,,,,2026-07-21T19:21:54,
2026-07-16,ITDC.NS,CONSUMER,755.25,6494.0,58.1,27.92,"CONF_FAIL(got 27.9, need 70) | TQ_FAIL(got 58.1, need 68) | INSTITUTIONAL_EXIT",757.4,0.28,,,,,2026-07-21T19:21:42,
2026-07-16,ITCHOTELS.NS,DIVERSIFIED,183.49,38214.0,61.1,57.28,ROE_TOO_LOW(7.9%<10%),164.37,-10.42,,,,,2026-07-21T19:21:57,
2026-07-16,IRISDOREME.NS,DIVERSIFIED,45.52,0.0,67.8,53.28,REGIME_NO_BUY,46.03,1.12,,,,,2026-07-21T19:22:05,
2026-07-16,IPCALAB.NS,PHARMA,1878.0,47655.0,73.0,40.15,REGIME_NO_BUY,1799.0,-4.21,,,,,2026-07-21T19:22:11,
2026-07-16,IONEXCHANG.NS,DIVERSIFIED,444.2,6516.0,59.8,55.77,REGIME_NO_BUY,437.7,-1.46,,,,,2026-07-21T19:22:01,
2026-07-16,INDOSTAR.NS,DIVERSIFIED,270.95,4360.0,69.0,57.02,REGIME_NO_BUY,270.6,-0.13,,,,,2026-07-21T19:21:59,
2026-07-16,INDOFARM.NS,DIVERSIFIED,162.29,779.0,70.7,14.629999999999999,REGIME_NO_BUY,161.87,-0.26,,,,,2026-07-21T19:22:24,
2026-07-16,INDOBORAX.NS,CHEMICALS,450.65,1446.0,54.2,51.19,REGIME_NO_BUY,430.1,-4.56,,,,,2026-07-21T19:22:06,
2026-07-16,INDIANHUME.NS,DIVERSIFIED,414.3,0.0,59.5,65.81,ROE_TOO_LOW(9.9%<10%),394.75,-4.72,,,,,2026-07-21T19:21:44,
